yearid,Level of Data,Subject,DenominatorType,District,Discode,School,Schcode,Grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2022,sch,mat,Regular,Bath,39,Bath Village School,20860,3, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2022,sch,mat,Regular,Bath,39,Bath Village School,20860,4, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2022,sch,mat,Regular,Bath,39,Bath Village School,20860,5,44849,< 10 %,54,23,23,46,54,495
2022,sch,mat,Regular,Bath,39,Bath Village School,20860,6,44849,< 10 %,25,50,17,67,33,532
2022,sch,rea,Regular,Bath,39,Bath Village School,20860,0,35 - 40,33,21,33,13,46,54,
2022,sch,rea,Regular,Bath,39,Bath Village School,20860,3, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2022,sch,rea,Regular,Bath,39,Bath Village School,20860,4, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2022,sch,rea,Regular,Bath,39,Bath Village School,20860,5,44849,46,15,38,< 10 %,38,62,601
2022,sch,rea,Regular,Bath,39,Bath Village School,20860,6,44849,< 10 %,25,50,25,75,25,666
2022,sch,sci,Regular,Bath,39,Bath Village School,20860,0,44849,31,46,23,< 10 %,23,77,
2022,sch,sci,Regular,Bath,39,Bath Village School,20860,5,44849,31,46,23,< 10 %,23,77,548
2022,sch,mat,Regular,Bedford,41,Memorial School,20990,0,145 - 150,< 10 %,11,25,59,84,16,
2022,sch,mat,Regular,Bedford,41,Memorial School,20990,3,75 - 80,< 10 %,12,31,51,82,18,452
2022,sch,mat,Regular,Bedford,41,Memorial School,20990,4,70 - 75,< 10 %,10,19,69,87,13,509
2022,sch,rea,Regular,Bedford,41,Memorial School,20990,0,145 - 150,< 10 %,23,28,43,71,29,
2022,sch,rea,Regular,Bedford,41,Memorial School,20990,3,75 - 80,10,30,31,29,60,40,596
2022,sch,rea,Regular,Bedford,41,Memorial School,20990,4,70 - 75,< 10 %,16,24,59,83,17,645
2022,sch,mat,Regular,Bedford,41,Peter Woodbury School,21000,0,205 - 210,< 10 %,14,35,46,81,19,
2022,sch,mat,Regular,Bedford,41,Peter Woodbury School,21000,3,100 - 105,< 10 %,15,38,39,77,23,451
2022,sch,mat,Regular,Bedford,41,Peter Woodbury School,21000,4,100 - 105,< 10 %,12,32,53,85,15,494
2022,sch,rea,Regular,Bedford,41,Peter Woodbury School,21000,0,200 - 205,< 10 %,16,29,48,77,23,
2022,sch,rea,Regular,Bedford,41,Peter Woodbury School,21000,3,100 - 105,< 10 %,21,29,43,73,27,608
2022,sch,rea,Regular,Bedford,41,Peter Woodbury School,21000,4,100 - 105,< 10 %,11,29,53,82,18,636
2022,sch,mat,Regular,Bedford,41,McKelvie Intermediate School,21005,0,660 - 665,< 10 %,20,29,46,75,25,
2022,sch,mat,Regular,Bedford,41,McKelvie Intermediate School,21005,5,335 - 340,< 10 %,24,24,44,68,32,516
2022,sch,mat,Regular,Bedford,41,McKelvie Intermediate School,21005,6,320 - 325,< 10 %,16,33,48,82,18,553
2022,sch,rea,Regular,Bedford,41,McKelvie Intermediate School,21005,0,655 - 660,< 10 %,17,46,31,77,23,
2022,sch,rea,Regular,Bedford,41,McKelvie Intermediate School,21005,5,335 - 340,< 10 %,13,46,32,78,22,647
2022,sch,rea,Regular,Bedford,41,McKelvie Intermediate School,21005,6,320 - 325,< 10 %,21,46,31,77,23,670
2022,sch,sci,Regular,Bedford,41,McKelvie Intermediate School,21005,0,340 - 345,17,21,33,28,61,39,
2022,sch,sci,Regular,Bedford,41,McKelvie Intermediate School,21005,5,340 - 345,17,21,33,28,61,39,558
2022,sch,mat,Regular,Bedford,41,Riddle Brook School,27680,0,240 - 245,< 10 %,10,31,57,88,12,
2022,sch,mat,Regular,Bedford,41,Riddle Brook School,27680,3,120 - 125,< 10 %,< 10 %,32,60,> 90 %,< 10 %,464
2022,sch,mat,Regular,Bedford,41,Riddle Brook School,27680,4,120 - 125,< 10 %,14,31,54,84,16,494
2022,sch,rea,Regular,Bedford,41,Riddle Brook School,27680,0,240 - 245,< 10 %,11,32,52,84,16,
2022,sch,rea,Regular,Bedford,41,Riddle Brook School,27680,3,120 - 125,< 10 %,13,28,51,79,21,616
2022,sch,rea,Regular,Bedford,41,Riddle Brook School,27680,4,120 - 125,< 10 %,< 10 %,36,53,88,12,638
2022,sch,mat,Regular,Bedford,41,Bedford High School,28555,0,305 - 310,12,29,40,19,59,41,
2022,sch,mat,Regular,Bedford,41,Bedford High School,28555,11,305 - 310,12,29,40,19,59,41,552
2022,sch,rea,Regular,Bedford,41,Bedford High School,28555,0,305 - 310,< 10 %,15,51,27,78,22,
2022,sch,rea,Regular,Bedford,41,Bedford High School,28555,11,305 - 310,< 10 %,15,51,27,78,22,559
2022,sch,sci,Regular,Bedford,41,Bedford High School,28555,0,265 - 270,20,17,52,11,63,37,
2022,sch,sci,Regular,Bedford,41,Bedford High School,28555,11,265 - 270,20,17,52,11,63,37,1158
2022,sch,mat,Regular,Bedford,41,Ross A. Lurgio Middle School,28560,0,655 - 660,< 10 %,25,27,39,67,33,
2022,sch,mat,Regular,Bedford,41,Ross A. Lurgio Middle School,28560,7,330 - 335,< 10 %,22,29,44,73,27,583
2022,sch,mat,Regular,Bedford,41,Ross A. Lurgio Middle School,28560,8,320 - 325,11,29,25,35,60,40,604
2022,sch,rea,Regular,Bedford,41,Ross A. Lurgio Middle School,28560,0,650 - 655,< 10 %,17,50,24,74,26,
2022,sch,rea,Regular,Bedford,41,Ross A. Lurgio Middle School,28560,7,330 - 335,< 10 %,15,56,24,79,21,671
2022,sch,rea,Regular,Bedford,41,Ross A. Lurgio Middle School,28560,8,320 - 325,12,19,43,25,68,32,680
2022,sch,sci,Regular,Bedford,41,Ross A. Lurgio Middle School,28560,0,325 - 330,31,22,30,16,46,54,
2022,sch,sci,Regular,Bedford,41,Ross A. Lurgio Middle School,28560,8,325 - 330,31,22,30,16,46,54,853
2022,sch,mat,Regular,Berlin,51,Berlin Middle School,20045,0,225 - 230,45,32,15,< 10 %,23,77,
2022,sch,mat,Regular,Berlin,51,Berlin Middle School,20045,6,60 - 65,43,38,15,< 10 %,20,80,478
2022,sch,mat,Regular,Berlin,51,Berlin Middle School,20045,7,70 - 75,36,39,16,10,26,74,519
2022,sch,mat,Regular,Berlin,51,Berlin Middle School,20045,8,90 - 95,53,24,14,< 10 %,22,78,537
2022,sch,rea,Regular,Berlin,51,Berlin Middle School,20045,0,220 - 225,42,31,22,< 10 %,27,73,
