yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2016,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,7,30 - 35,18,38,24,21,44,56,2559
2016,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,8,60 - 65,25,31,25,19,44,56,2567
2016,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,0,285 - 290,23,29,31,17,49,51,NULL
2016,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,3,35 - 40,26,29,20,26,46,54,2424
2016,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,4,45 - 50,25,17,33,25,58,42,2492
2016,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,5,50 - 55,36,23,26,15,42,58,2481
2016,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,6,50 - 55,19,42,34,<10,40,60,2513
2016,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,7,30 - 35,12,38,26,24,50,50,2572
2016,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,8,60 - 65,17,27,41,14,56,44,2573
2016,sch,sci,Regular,Barnstead,31,Barnstead Elementary School,22485,0,110 - 115,13,42,42,<10,45,55,NULL
2016,sch,sci,Regular,Barnstead,31,Barnstead Elementary School,22485,4,45 - 50,<10,35,50,<10,56,44,NULL
2016,sch,sci,Regular,Barnstead,31,Barnstead Elementary School,22485,8,60 - 65,17,47,36,<10,36,64,NULL
2016,sch,mat,Regular,Barrington,33,Barrington Elementary School,22045,0,190 - 195,16,38,32,14,46,54,NULL
2016,sch,mat,Regular,Barrington,33,Barrington Elementary School,22045,3,80 - 85,19,37,31,14,44,56,2436
2016,sch,mat,Regular,Barrington,33,Barrington Elementary School,22045,4,110 - 115,14,38,32,15,47,53,2484
2016,sch,rea,Regular,Barrington,33,Barrington Elementary School,22045,0,190 - 195,21,27,33,19,52,48,NULL
2016,sch,rea,Regular,Barrington,33,Barrington Elementary School,22045,3,80 - 85,17,25,44,14,58,42,2435
2016,sch,rea,Regular,Barrington,33,Barrington Elementary School,22045,4,110 - 115,24,29,25,22,47,53,2472
2016,sch,sci,Regular,Barrington,33,Barrington Elementary School,22045,0,110 - 115,<10,36,54,<10,55,45,NULL
2016,sch,sci,Regular,Barrington,33,Barrington Elementary School,22045,4,110 - 115,<10,36,54,<10,55,45,NULL
2016,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,0,410 - 415,16,36,30,18,48,52,NULL
2016,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,5,105 - 110,16,38,33,13,46,54,2518
2016,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,6,95 - 100,<10,30,36,27,62,38,2563
2016,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,7,100 - 105,21,41,24,14,38,62,2547
2016,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,8,105 - 110,18,36,28,19,47,53,2578
2016,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,0,410 - 415,13,25,45,18,62,38,NULL
2016,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,5,105 - 110,20,17,36,27,63,37,2529
2016,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,6,95 - 100,<10,28,51,16,67,33,2558
2016,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,7,100 - 105,19,30,41,10,50,50,2550
2016,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,8,105 - 110,<10,24,51,17,68,32,2601
2016,sch,sci,Regular,Barrington,33,Barrington Middle School,22030,0,105 - 110,17,54,27,<10,29,71,NULL
2016,sch,sci,Regular,Barrington,33,Barrington Middle School,22030,8,105 - 110,17,54,27,<10,29,71,NULL
2016,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,0,140 - 145,<10,27,28,39,67,33,NULL
2016,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,3,15-Oct,<10,14,50,36,86,14,2500
2016,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,4,20 - 25,<10,27,45,18,64,36,2494
2016,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,5,15-Oct,<10,14,21,57,79,21,2575
2016,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,6,30 - 35,<10,42,23,29,52,48,2571
2016,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,7,30 - 35,<10,40,13,43,57,43,2605
2016,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,8,30 - 35,<10,13,28,53,81,19,2639
2016,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,0,140 - 145,<10,15,42,38,80,20,NULL
2016,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,3,15-Oct,<10,14,43,43,86,14,2497
