yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1text,plevel2text,plevel3text,plevel4text,pAboveProftext,pbelowProfText,AvgScore
2021,sch,mat,Regular,Bedford,41,Peter Woodbury School,21000,4,115 - 120,< 10 %,23,34,39,73,27,486
2021,sch,rea,Regular,Bedford,41,Peter Woodbury School,21000,0,215 - 220,10,12,27,52,79,21,
2021,sch,rea,Regular,Bedford,41,Peter Woodbury School,21000,3,95 - 100,11,17,32,39,72,28,602
2021,sch,rea,Regular,Bedford,41,Peter Woodbury School,21000,4,115 - 120,< 10 %,< 10 %,22,63,85,15,638
2021,sch,mat,Regular,Bedford,41,Riddle Brook School,27680,0,220 - 225,< 10 %,11,35,51,85,15,
2021,sch,mat,Regular,Bedford,41,Riddle Brook School,27680,3,110 - 115,< 10 %,< 10 %,27,59,86,14,460
2021,sch,mat,Regular,Bedford,41,Riddle Brook School,27680,4,105 - 110,< 10 %,14,43,42,85,15,490
2021,sch,rea,Regular,Bedford,41,Riddle Brook School,27680,0,220 - 225,< 10 %,17,22,55,76,24,
2021,sch,rea,Regular,Bedford,41,Riddle Brook School,27680,3,110 - 115,< 10 %,16,22,54,76,24,613
2021,sch,rea,Regular,Bedford,41,Riddle Brook School,27680,4,105 - 110,< 10 %,18,21,55,77,23,637
2021,sch,mat,Regular,Bedford,41,Ross A. Lurgio Middle School,28560,0,630 - 635,12,24,30,34,64,36,
2021,sch,mat,Regular,Bedford,41,Ross A. Lurgio Middle School,28560,7,305 - 310,10,26,34,29,64,36,566
2021,sch,mat,Regular,Bedford,41,Ross A. Lurgio Middle School,28560,8,325 - 330,13,23,26,38,64,36,609
2021,sch,rea,Regular,Bedford,41,Ross A. Lurgio Middle School,28560,0,630 - 635,10,16,48,26,74,26,
2021,sch,rea,Regular,Bedford,41,Ross A. Lurgio Middle School,28560,7,300 - 305,< 10 %,18,49,24,73,27,666
2021,sch,rea,Regular,Bedford,41,Ross A. Lurgio Middle School,28560,8,325 - 330,10,15,47,28,75,25,685
